record,score,price,state,variety
89,85,14,New York,Riesling
90,85,18,California,Red Blend
91,85,16,New York,Gewürztraminer
92,85,28,Oregon,Pinot Noir
93,85,49,California,Syrah
94,85,85,California,Cabernet Sauvignon
95,85,36,California,Cabernet Sauvignon
96,85,34,California,Sangiovese
97,85,15,California,Chardonnay
98,85,30,New York,Chardonnay
99,85,25,California,Merlot
100,85,45,Oregon,Pinot Noir
101,85,18,Virginia,Bordeaux-style Red Blend
102,85,49,California,Cabernet Sauvignon
103,85,22,Oregon,Pinot Noir
104,85,35,California,Zinfandel
105,89,45,California,Petite Sirah
106,89,55,California,Pinot Noir
107,89,40,Oregon,Pinot Noir
108,89,39,California,Red Blend
109,89,60,California,Pinot Noir
110,89,20,California,Zinfandel
111,89,30,California,Cabernet Sauvignon
112,89,50,Oregon,Pinot Noir
113,92,34,California,Pinot Noir
114,92,52,Oregon,Pinot Noir
115,92,60,California,Pinot Noir
116,92,125,California,Cabernet Sauvignon
117,87,35,California,Cabernet Sauvignon-Syrah
118,87,15,California,Cabernet Sauvignon
119,87,28,California,Sangiovese
120,87,14,Washington,Chardonnay
121,87,24,California,Zinfandel
122,87,40,California,Cabernet Sauvignon
123,87,28,California,Cabernet Sauvignon
124,86,11,New York,Vignoles
125,86,16,California,White Blend
126,86,34,California,Zinfandel
127,86,40,California,Red Blend
128,82,48,California,Zinfandel
129,96,68,California,Chardonnay
130,96,68,California,Chardonnay
131,95,200,California,Cabernet Sauvignon
132,95,48,Oregon,Pinot Noir
133,88,160,California,Cabernet Sauvignon
134,88,19,California,Sauvignon Blanc
135,88,18,California,Sauvignon Blanc
136,88,34,California,Merlot
137,88,17,California,Sauvignon Blanc
138,88,25,California,Pinot Noir
139,87,12,California,Sauvignon Blanc
140,85,16,California,Zinfandel
141,85,15,California,Red Blend
142,85,45,California,Syrah
143,85,20,New York,Gewürztraminer
144,85,20,New York,Cabernet Franc
145,85,12,California,Cabernet Sauvignon
146,85,14,New York,Riesling
147,89,30,Washington,Merlot
148,89,20,Washington,Grenache Blanc
149,89,30,California,White Blend
150,89,18,New York,Rosé
151,89,35,New York,Sparkling Blend
152,89,42,Washington,Syrah
153,89,30,California,Sauvignon Blanc
154,89,24,California,Tempranillo
155,89,16,Washington,Riesling
156,89,27,California,Grenache Blanc
157,89,54,California,Bordeaux-style Red Blend
158,89,38,Washington,Cabernet Sauvignon
159,89,35,New York,Cabernet Franc
160,88,32,California,Zinfandel
161,88,20,California,Cabernet Sauvignon
162,92,40,California,Chardonnay
163,92,23,California,Sparkling Blend
164,92,45,California,Pinot Noir
165,92,50,Oregon,Pinot Noir
166,92,29,Oregon,Pinot Blanc
167,92,65,Oregon,Pinot Noir
168,92,130,California,Cabernet Sauvignon
169,92,88,California,Red Blend
170,87,45,Washington,Bordeaux-style Red Blend
171,87,60,California,Pinot Noir
172,87,13,California,Cabernet Sauvignon
173,87,30,Washington,Sangiovese
174,87,35,Washington,Red Blend
175,87,12,New York,Chardonnay
176,87,18,California,Chardonnay
177,87,30,California,Cabernet Franc
178,87,17,California,Pinot Noir
179,87,15,California,Verdelho
180,87,19,California,Sauvignon Blanc
181,87,28,Washington,Syrah
182,87,28,Washington,Tempranillo
183,91,65,California,Red Blend
184,91,48,California,Chardonnay
185,91,90,California,Cabernet Sauvignon
186,91,75,California,Pinot Noir
187,91,55,California,Pinot Noir
188,91,55,California,Pinot Noir
189,91,36,California,Grenache
190,91,35,California,Marsanne
191,91,35,California,Grenache
192,91,55,Oregon,Pinot Noir
193,91,65,Oregon,Pinot Noir
194,91,35,Washington,Syrah
195,91,49,California,Chardonnay
196,91,55,Oregon,Pinot Noir
197,91,45,California,Pinot Noir
198,91,50,Oregon,Sparkling Blend
199,91,50,Oregon,Pinot Noir
200,91,50,Oregon,Pinot Noir
201,91,38,California,Cabernet Sauvignon
202,91,50,Washington,Bordeaux-style Red Blend
203,91,110,California,Cabernet Sauvignon
204,91,45,Oregon,Pinot Noir
205,93,42,California,Pinot Noir
206,93,60,California,Pinot Noir
207,93,42,California,Pinot Noir
208,93,75,California,Cabernet Sauvignon
209,93,54,California,Red Blend
210,93,85,California,Cabernet Sauvignon
211,93,50,California,Chardonnay
212,93,150,California,Sangiovese
213,93,85,California,Pinot Noir
214,93,35,California,Chardonnay
215,93,46,California,Zinfandel
216,93,75,Washington,Cabernet Sauvignon
217,93,40,California,Pinot Noir
218,93,25,California,White Blend
219,93,48,California,Syrah-Grenache
220,93,45,California,Syrah
221,93,50,California,Pinot Noir
222,93,65,California,Petite Sirah
223,93,48,California,Pinot Noir
224,93,62,California,Syrah
225,93,100,California,Red Blend
226,93,53,California,Cabernet Sauvignon
227,93,70,California,Cabernet Sauvignon
228,89,38,Washington,Chardonnay
229,89,50,Washington,Syrah
230,89,25,California,Albariño
231,89,17,New York,Rosé
232,89,13,California,Rosé
233,89,18,Washington,White Blend
234,89,26,Washington,Gewürztraminer
235,89,18,Washington,Merlot
236,89,32,California,Pinot Noir
237,89,25,Washington,Chardonnay
238,89,18,California,Chardonnay
239,89,17,California,Chardonnay
240,89,41,Washington,Malbec
241,89,30,Washington,Cabernet Sauvignon
242,89,36,California,Sangiovese
243,87,20,California,Cabernet Sauvignon
244,87,69,California,Cabernet Sauvignon
245,87,36,New York,Cabernet Franc
246,87,25,Oregon,Grenache
247,87,25,Oregon,Viognier
248,87,20,Oregon,Grüner Veltliner
249,87,17,California,Sauvignon Blanc
250,87,54,California,Pinot Noir
251,87,40,California,G-S-M
252,87,45,California,Chardonnay
253,87,35,California,Merlot
254,87,28,California,Pinot Noir
255,87,25,Idaho,Red Blend
256,87,28,Idaho,Red Blend
257,87,20,Idaho,Red Blend
258,92,75,California,Pinot Noir
259,92,48,Oregon,Pinot Noir
260,92,48,California,Zinfandel
261,92,37,California,Chardonnay
262,92,25,California,Pinot Gris
263,92,60,California,Chardonnay
264,92,40,California,Cabernet Sauvignon
265,92,50,Oregon,Pinot Noir
266,92,75,California,Cabernet Sauvignon
267,92,35,California,Grenache
268,92,30,California,Zinfandel
269,92,70,Oregon,Pinot Noir
270,90,40,California,Chardonnay
271,90,45,Washington,Cabernet Sauvignon
272,90,80,California,Cabernet Sauvignon
273,90,15,California,Pinot Grigio
274,90,65,California,Cabernet Sauvignon
275,90,20,Washington,Riesling
276,90,26,New York,Riesling
277,90,30,Washington,Malbec
278,90,13,Washington,Cabernet Sauvignon
279,90,45,California,Petite Sirah
280,90,26,New York,Riesling
281,90,44,California,Pinot Noir
282,90,38,California,Cabernet Sauvignon
283,90,28,California,Pinot Noir
284,90,32,Washington,Chardonnay
285,90,35,Washington,Cabernet Sauvignon
286,90,42,Washington,Syrah
287,90,30,Washington,Cabernet Sauvignon
288,90,75,California,Pinot Noir
289,90,29,California,Chardonnay
290,91,90,Washington,Cabernet Sauvignon
291,91,35,California,Red Blend
292,91,50,California,Malbec
293,91,65,California,Cabernet Franc
294,91,20,Washington,Bordeaux-style Red Blend
295,91,38,California,Zinfandel
296,91,23,California,Sauvignon Blanc
297,91,48,California,Pinot Noir
298,91,32,California,Pinot Noir
299,85,14,Texas,Viognier
300,85,13,Oregon,Pinot Noir
301,85,16,California,Cabernet Sauvignon
302,85,32,California,Tempranillo
303,85,,Texas,Sangiovese
304,85,33,California,Zinfandel
305,87,24,California,Pinot Noir
306,87,75,New York,Cabernet Franc
307,87,45,California,Pinot Noir
308,87,22,California,Chardonnay
309,87,18,California,Gewürztraminer
310,87,35,California,Zinfandel
311,87,36,California,Pinot Noir
312,87,34,California,Pinot Noir
313,87,70,California,Syrah
314,87,28,California,Syrah
315,87,45,California,Syrah
316,87,32,California,Red Blend
317,92,40,California,Sparkling Blend
318,92,70,Oregon,Pinot Noir
319,92,48,Oregon,Pinot Noir
320,92,105,Oregon,Pinot Noir
321,92,35,California,Sparkling Blend
322,92,38,California,Zinfandel
323,90,125,California,Cabernet Sauvignon
324,90,17,Washington,Cabernet Sauvignon
325,90,85,Oregon,Pinot Noir
326,90,34,Washington,Red Blend
327,90,22,California,Grenache Blanc
328,90,20,California,Cabernet Sauvignon
329,90,50,California,Syrah
330,90,39,Washington,Merlot
331,90,35,Washington,Chardonnay
332,90,15,Oregon,Riesling
333,90,27,California,Chardonnay
334,90,125,California,Cabernet Sauvignon
335,90,42,California,Syrah
336,86,18,Washington,Sauvignon Blanc
337,86,22,New York,Gewürztraminer
338,86,28,California,Malbec
339,86,10,California,Merlot
340,86,26,Washington,Viognier
341,86,36,Washington,Syrah
342,86,20,New York,Riesling
343,86,10,California,Chardonnay
344,86,25,Washington,Cabernet Franc
345,90,20,California,Zinfandel
346,90,35,California,Chardonnay
347,90,28,California,Syrah
348,90,15,Oregon,Pinot Gris
349,90,150,California,Cabernet Sauvignon
350,90,45,California,Cabernet Franc
351,90,45,California,Pinot Noir
352,90,40,Oregon,Pinot Noir
353,90,42,California,Grenache
354,90,29,California,Syrah
355,90,42,California,Merlot
356,90,18,Oregon,Albariño
357,90,20,California,Syrah
358,90,22,California,Cabernet Sauvignon
359,90,28,California,Sparkling Blend
360,90,27,California,Petite Sirah
361,90,72,Washington,Cabernet Franc
362,90,44,California,Pinot Noir
363,90,28,California,Viognier
364,90,29,California,Pinot Noir
365,90,58,Washington,Bordeaux-style Red Blend
366,90,70,California,Syrah
367,90,39,Washington,Syrah
368,87,22,Texas,Roussanne
369,87,30,Texas,Nero d'Avola
370,87,18,Texas,Roussanne
371,87,18,Oregon,Rosé
372,87,25,Oregon,Pinot Noir
373,87,20,Oregon,Pinot Gris
374,87,20,California,Muscat Blanc _ Petits Grains
375,87,20,California,Zinfandel
376,87,40,Oregon,Chardonnay
377,87,29,Oregon,Pinot Blanc
378,87,55,California,Bordeaux-style Red Blend
379,87,34,California,Pinot Noir
380,87,27,Oregon,Viognier
381,87,17,California,Chardonnay
382,87,65,California,Sangiovese
383,87,40,California,Chardonnay
384,87,32,California,Petit Verdot
385,87,38,Oregon,Pinot Noir
386,87,15,California,Cabernet Sauvignon
387,87,24,California,Sauvignon Blanc
388,85,19,California,Cabernet Sauvignon
389,85,23,California,Viognier
390,85,35,California,Syrah
391,85,30,Washington,Red Blend
392,85,17,California,White Blend
393,85,16,California,Viognier
394,85,15,California,White Blend
395,85,25,California,Gewürztraminer
396,88,20,Oregon,Pinot Gris
397,88,12,California,Sauvignon Blanc
398,88,18,Oregon,Pinot Gris
399,88,17,Oregon,Riesling
400,88,24,Oregon,Cabernet Sauvignon
401,88,60,Oregon,Pinot Noir
402,88,40,Oregon,Pinot Noir
403,88,75,Oregon,Pinot Noir
404,88,16,New York,Pinot Gris
405,88,42,California,Rhône-style Red Blend
406,88,48,California,Red Blend
407,88,125,California,Bordeaux-style Red Blend
408,88,14,Oregon,Pinot Gris
409,88,42,California,Sauvignon Blanc
410,88,13,Oregon,Pinot Gris
411,88,34,Oregon,Grenache
412,88,60,California,Chardonnay
413,88,22,California,Chardonnay
414,88,28,Oregon,Syrah
415,85,24,Oregon,Pinot Noir
416,85,16,California,Merlot
417,85,10,California,Merlot
418,85,12,California,Pinot Grigio
419,85,16,California,Syrah
420,94,38,California,Zinfandel
421,94,34,California,Pinot Noir
422,94,100,Oregon,Pinot Noir
423,94,95,Oregon,Pinot Noir
424,94,62,Oregon,Pinot Noir
425,94,52,California,Chardonnay
426,94,35,Oregon,Chardonnay
427,94,85,Oregon,Chardonnay
428,94,32,Oregon,Riesling
429,94,32,Oregon,Riesling
430,94,120,Oregon,Syrah
431,94,85,California,Malbec
432,94,38,California,Zinfandel
433,94,32,Oregon,Riesling
434,94,58,California,Pinot Noir
435,94,85,Oregon,Syrah
436,94,80,California,Cabernet Franc
437,94,75,California,Pinot Noir
438,94,50,Oregon,Pinot Noir
439,94,60,Oregon,Pinot Noir
440,90,28,California,Cabernet Sauvignon
441,90,15,Washington,Viognier
442,90,19,California,Chardonnay
443,90,40,California,G-S-M
444,90,45,California,Chardonnay
445,90,13,Washington,Sauvignon Blanc
446,90,35,Washington,Cabernet Franc
447,90,20,California,Zinfandel
448,90,38,California,Rhône-style Red Blend
449,90,15,Washington,Sauvignon Blanc
450,90,10,California,Merlot
451,90,56,California,Zinfandel
452,84,16,New York,Riesling
453,84,40,Washington,Pinot Gris
454,84,20,Washington,Red Blend
455,84,38,California,Pinot Noir
456,84,65,California,Cabernet Sauvignon
457,84,27,California,Red Blend
458,84,100,California,Cabernet Sauvignon
459,84,25,New York,Chardonnay
460,84,13,California,Chardonnay
461,84,28,California,Zinfandel
462,83,11,California,Meritage
463,83,17,Washington,Merlot
464,83,45,New York,White Blend
465,87,24,Washington,Red Blend
466,87,60,California,Petite Sirah
467,86,23,California,Cabernet Sauvignon
468,86,18,California,Merlot
469,86,26,Washington,Bordeaux-style Red Blend
470,86,48,California,Pinot Noir
471,86,40,California,Pinot Noir
472,88,26,California,Pinot Gris
473,88,13,California,Chardonnay
474,87,35,Oregon,Chardonnay
475,87,26,Texas,Tempranillo
476,87,14,California,Zinfandel
477,87,35,Oregon,Chardonnay
478,93,24,California,Sparkling Blend
479,93,52,California,Cabernet Sauvignon
480,93,115,California,Bordeaux-style Red Blend
481,93,60,California,Pinot Noir
482,93,40,California,Pinot Noir
483,93,55,California,Sauvignon Blanc
484,93,60,California,Syrah
485,93,75,California,Syrah
486,93,58,California,Pinot Noir
487,93,55,California,Syrah
488,93,65,California,Sparkling Blend
489,93,38,California,Charbono
490,93,49,California,Chardonnay
491,93,32,California,Pinot Noir
492,93,55,California,Pinot Noir
493,93,65,California,Pinot Noir
494,93,40,California,Red Blend
495,92,50,California,Tempranillo
496,92,42,California,Pinot Noir
497,92,60,California,Pinot Noir
498,92,48,California,Red Blend
499,92,36,California,Chardonnay
500,88,13,Washington,Chardonnay
501,88,50,California,Bordeaux-style Red Blend
502,88,40,California,Cabernet Sauvignon
503,88,50,Washington,Red Blend
504,88,20,Washington,Red Blend
505,88,7,Washington,Chardonnay
506,88,10,Washington,Chardonnay
507,88,40,California,Cabernet Sauvignon
508,85,20,California,Viognier
509,85,13,New York,Riesling
510,85,35,California,Pinot Noir
511,85,16,Michigan,Riesling
512,85,20,California,Cabernet Franc
513,85,34,California,Cabernet Sauvignon
514,85,26,California,Petite Sirah
515,84,15,California,Chardonnay
516,84,10,California,Merlot
517,84,70,California,Cabernet Sauvignon
518,84,24,California,Sauvignon Blanc
519,84,10,New York,Riesling
520,89,35,California,Cabernet Sauvignon
521,89,75,California,Cabernet Sauvignon
522,89,25,California,Chardonnay
523,89,36,California,Syrah
524,89,35,California,Chardonnay
525,89,40,Oregon,Pinot Noir
526,89,45,California,Zinfandel
527,89,40,California,Bordeaux-style Red Blend
528,89,32,California,Chardonnay
529,89,34,California,Cabernet Sauvignon
530,90,42,California,Petite Sirah
531,90,98,California,Cabernet Sauvignon
532,90,35,California,Syrah
533,90,56,California,Syrah
534,90,38,California,Pinot Noir
535,90,38,California,Syrah
536,90,22,New York,Sauvignon Blanc
537,90,18,New York,Rosé
538,90,42,California,G-S-M
539,90,39,California,Cabernet Sauvignon
540,90,38,California,Rhône-style Red Blend
541,90,22,Oregon,Viognier
542,86,10,Washington,Riesling
543,86,30,California,Red Blend
544,86,35,Washington,Red Blend
545,86,17,California,Pinot Noir
546,86,23,California,Petite Sirah
547,86,27,California,Rhône-style White Blend
548,87,20,California,Chardonnay
549,86,13,California,Rosé
550,86,28,Pennsylvania,Syrah
551,86,20,California,Zinfandel
552,86,24,California,Mourvèdre
553,86,18,California,Syrah
554,86,18,Washington,Cabernet Sauvignon
555,86,12,California,Rosé
556,86,18,California,Viognier
557,86,15,California,Verdelho
558,88,36,Oregon,Malbec
559,88,42,California,Pinot Noir
560,88,48,California,Pinot Noir
561,88,,California,Nebbiolo
562,88,40,California,Pinot Meunier
563,88,50,Michigan,Cabernet Franc
564,88,25,Michigan,Cabernet Franc
565,88,22,California,White Blend
566,88,15,California,Chardonnay
567,88,70,California,Cabernet Sauvignon
568,88,16,California,Pinot Noir
569,93,38,California,Zinfandel
570,93,45,Washington,Cabernet Sauvignon
571,93,50,Washington,Bordeaux-style Red Blend
572,93,24,Washington,Viognier
573,93,86,California,Cabernet Sauvignon
574,92,55,Washington,Cabernet Sauvignon
575,92,85,California,Cabernet Sauvignon
576,92,50,Washington,Red Blend
577,92,120,California,Bordeaux-style Red Blend
578,92,30,Washington,Viognier
579,92,32,Washington,Cabernet Sauvignon-Sangiovese
580,92,40,Washington,Cabernet Sauvignon
581,92,39,Washington,Merlot
582,92,85,California,Cabernet Sauvignon
583,94,75,California,Rhône-style Red Blend
584,94,120,California,Cabernet Sauvignon
585,94,28,California,White Blend
586,94,70,California,Rhône-style Red Blend
587,94,150,California,Cabernet Sauvignon
588,94,72,California,Cabernet Sauvignon
589,93,35,California,Sauvignon Blanc
590,93,38,California,Syrah
591,93,175,California,Cabernet Sauvignon
592,93,36,California,Pinot Noir
593,93,60,California,Cabernet Sauvignon
594,93,110,California,Cabernet Sauvignon
595,93,100,California,Pinot Noir
596,93,80,California,Cabernet Sauvignon
597,86,20,Washington,Cabernet Sauvignon
598,85,9,California,Riesling
599,85,75,California,Merlot
600,85,22,California,Pinot Noir
601,85,34,California,Port
602,85,65,California,Bordeaux-style Red Blend
603,92,32,California,Pinot Noir
604,92,71,California,Pinot Noir
605,92,60,Oregon,Pinot Noir
606,92,42,California,Merlot
607,92,54,Oregon,Pinot Noir
608,92,75,California,Cabernet Sauvignon
609,92,48,Oregon,Pinot Noir
610,92,100,California,Cabernet Sauvignon
611,86,15,California,Chardonnay
612,85,20,California,Rosé
613,85,11,California,Syrah
614,85,28,California,Chardonnay
615,99,125,Washington,Cabernet Sauvignon
616,99,94,California,Pinot Noir
617,98,50,Washington,Bordeaux-style Red Blend
618,97,150,California,Cabernet Sauvignon
619,97,82,California,Pinot Noir
620,96,125,California,Cabernet Sauvignon
621,96,78,California,Pinot Noir
622,95,56,California,Pinot Noir
623,95,60,Washington,Syrah
624,95,75,California,Chardonnay
625,88,28,California,Chardonnay
626,88,34,New York,Syrah
627,88,35,California,Chardonnay
628,88,21,New York,Riesling
629,88,18,Washington,Red Blend
630,88,10,California,Pinot Noir
631,88,55,California,Chardonnay
632,88,16,Washington,Riesling
633,88,25,Washington,Cabernet Franc
634,87,20,New York,Riesling
635,87,12,California,Chardonnay
636,87,30,Washington,Chardonnay
637,87,24,Washington,Albariño
638,85,16,Virginia,White Blend
639,85,17,America,Chardonnay
640,85,22,Virginia,Muskat Ottonel
641,85,12,California,Pinot Noir
642,85,20,California,Chardonnay
643,85,15,California,Red Blend
644,85,11,California,Chardonnay
645,85,10,California,Cabernet Sauvignon
646,85,25,California,Red Blend
647,85,18,Oregon,Pinot Gris
648,85,25,Oregon,Claret
649,85,35,Oregon,Claret
650,85,28,Oregon,Cabernet Sauvignon
651,85,10,California,Chardonnay
652,85,12,California,Cabernet Sauvignon
653,85,25,Oregon,Merlot
654,90,65,Oregon,Syrah
655,90,20,California,Marsanne
656,90,50,California,Pinot Noir
657,90,30,California,Chardonnay
658,90,28,California,Cabernet Franc
659,90,16,Oregon,Pinot Gris
660,90,18,Oregon,Sauvignon Blanc
661,90,115,California,Cabernet Sauvignon
662,90,35,California,Grenache
663,90,20,California,White Blend
664,90,18,California,Grenache Blanc
665,90,12,California,Cabernet Sauvignon
666,86,14,California,Fumé Blanc
667,86,10,New York,Chardonnay
668,86,25,California,Viognier
669,85,19,California,Chardonnay
670,85,10,California,Pinot Grigio
671,85,22,Pennsylvania,Pinot Noir
672,85,18,New York,Chardonnay
673,92,48,California,Pinot Noir
674,92,30,California,Chardonnay
675,92,35,Washington,Chardonnay
676,92,20,Washington,Rhône-style Red Blend
677,92,40,Washington,Syrah
678,92,40,Washington,Syrah
679,92,22,California,Chardonnay
680,92,29,California,Syrah
681,92,56,Washington,Pinot Noir
682,92,45,California,Zinfandel
683,92,30,California,Chardonnay
684,84,10,Washington,Riesling
685,84,29,Washington,Rhône-style Red Blend
686,84,25,New York,Riesling
687,84,37,California,Malbec
688,84,20,New York,Riesling
689,84,18,Washington,Rosé
690,84,9,California,Red Blend
691,84,22,California,Meritage
692,91,33,Washington,Rhône-style Red Blend
693,91,20,Idaho,Riesling
694,91,45,California,Pinot Noir
695,91,50,California,Pinot Noir
696,91,40,California,Chardonnay
697,91,60,California,Pinot Noir
698,91,29,Washington,Syrah
699,91,30,California,Chardonnay
700,91,40,California,Pinot Noir
701,91,45,Washington,Mourvèdre
702,85,28,California,Chardonnay
703,85,15,California,Chardonnay
704,85,14,California,Pinot Noir
705,85,25,California,Pinot Noir
706,84,18,California,Cabernet Sauvignon
707,84,46,California,Chardonnay
708,84,15,Oregon,Pinot Noir
709,84,50,California,Cabernet Sauvignon
710,84,10,California,Red Blend
711,84,23,California,Sauvignon Blanc
712,84,19,Michigan,Riesling
713,84,47,California,Cabernet Sauvignon
714,84,60,California,Cabernet Sauvignon
715,84,42,California,Cabernet Sauvignon
716,84,13,California,Red Blend
717,83,16,California,Sauvignon Blanc
718,83,38,California,Zinfandel
719,83,25,New Jersey,Chardonnay
720,83,25,Oregon,Syrah
721,83,55,California,Cabernet Sauvignon
722,83,,California,Chardonnay
723,83,29,Oregon,G-S-M
724,94,300,California,Cabernet Sauvignon
725,93,30,Washington,Cabernet Sauvignon
726,93,36,California,Syrah-Viognier
727,93,85,Washington,Red Blend
728,93,36,Washington,Rhône-style Red Blend
729,93,50,California,Sparkling Blend
730,93,50,Washington,Red Blend
731,93,28,Washington,Syrah
732,93,55,California,Chardonnay
733,93,48,California,Cabernet Sauvignon
734,93,22,Washington,Red Blend
735,89,46,California,Chardonnay
736,89,30,Oregon,Chardonnay
737,89,18,Oregon,Pinot Gris
738,89,55,California,Cabernet Sauvignon
739,88,15,California,Chardonnay
740,87,25,California,Grenache Blanc
741,87,14,Washington,Riesling
742,87,50,California,Syrah
743,87,26,Washington,Tempranillo
744,87,32,California,Bordeaux-style Red Blend
745,87,28,Washington,Merlot
746,87,11,California,Cabernet Sauvignon
747,87,60,California,Cabernet Sauvignon
748,87,15,Washington,Chardonnay
749,87,40,Washington,Merlot
750,87,19,California,Chardonnay
751,87,65,California,Cabernet Sauvignon
752,87,36,California,Zinfandel
753,87,24,Washington,Red Blend
754,86,32,California,Pinot Noir
755,86,15,Washington,Bordeaux-style Red Blend
756,86,24,California,Sauvignon Blanc
757,86,32,Washington,Bordeaux-style Red Blend
758,86,24,California,Chardonnay
759,88,40,California,Merlot
760,88,35,Virginia,White Blend
761,88,35,California,Pinot Noir
762,88,60,California,Cabernet Franc
763,88,40,Oregon,Pinot Noir
764,88,22,Oregon,Marsanne-Roussanne
765,88,50,Oregon,Pinot Noir
766,88,45,California,Chardonnay
767,88,28,California,Pinot Noir
768,88,22,Virginia,Chardonnay
769,88,40,California,Pinot Noir
770,88,18,California,Rhône-style Red Blend
771,85,16,Oregon,Chardonnay
772,84,18,Virginia,Chardonnay
773,84,20,California,Chardonnay
774,84,25,Oregon,Pinot Noir
775,84,19,Oregon,Pinot Noir
776,84,15,California,Red Blend
777,84,15,California,Pinot Noir
778,87,25,California,Red Blend
779,87,38,California,Pinot Noir
780,87,28,California,Petite Sirah
781,87,40,Oregon,Cabernet Sauvignon
782,87,45,Oregon,Chardonnay
783,87,25,California,Pinot Noir
784,87,45,California,Cabernet Sauvignon
785,87,35,California,Rhône-style Red Blend
786,92,25,California,Syrah
787,92,48,California,Cabernet Sauvignon
788,92,55,California,Cabernet Sauvignon
789,91,17,California,Sauvignon Blanc
790,91,58,California,Pinot Noir
791,90,25,California,Gewürztraminer
792,90,35,California,Rhône-style Red Blend
793,90,65,California,Cabernet Sauvignon
794,90,36,Washington,Cabernet Sauvignon
795,90,35,California,Cabernet Sauvignon
796,90,49,California,Pinot Noir
797,90,28,Washington,Red Blend
798,90,40,Washington,Syrah
799,90,28,California,Chardonnay
800,90,35,California,Pinot Noir
801,90,42,California,Cabernet Sauvignon
802,90,24,California,Petite Sirah
803,90,50,California,Pinot Noir
804,90,22,California,Sauvignon Blanc
805,90,26,California,Grenache
806,90,19,Washington,Red Blend
807,87,12,California,Chardonnay
808,87,18,California,Zinfandel
809,87,30,California,Pinot Noir
810,87,24,California,Chardonnay
811,87,20,California,Cabernet Franc
812,87,24,California,Pinot Noir
813,87,17,Oregon,Red Blend
814,88,20,California,Merlot
815,88,20,Washington,Riesling
816,88,25,Washington,Red Blend
817,88,24,California,Barbera
818,88,20,New York,Cabernet Franc
819,88,98,California,Bordeaux-style Red Blend
820,88,13,California,Chardonnay
821,88,25,California,Merlot
822,88,45,Washington,Merlot
823,88,44,California,Chardonnay
824,84,42,California,Zinfandel
825,84,28,Washington,Barbera
826,84,28,Oregon,Carmenère
827,84,12,California,Pinot Grigio
828,84,11,California,Merlot
829,84,21,Washington,Viognier
830,84,23,California,Riesling
831,84,85,Oregon,Pinot Noir
832,90,22,New York,Riesling
833,90,17,New York,Riesling
834,90,24,California,Rosé
835,90,30,California,Chardonnay
836,90,28,California,Vermentino
